Price,Close,High,Low,Open,Volume
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
Date,,,,,
2020-04-28,75.58901977539062,76.81691163330443,73.8699711743113,74.31201673983456,34825405
2020-04-29,76.76779174804688,77.89745362808374,75.19609184708338,76.08016788893664,40784783
2020-04-30,91.6007308959961,92.09188763002288,84.42983958142219,84.42983958142219,170634033
2020-05-04,82.41609191894531,85.65772149123681,80.05853836989759,85.46126181817289,91159477
2020-05-05,79.46915435791016,85.26480482921443,78.9779976653328,84.4789511233081,57122148
2020-05-06,81.72846984863281,82.46520488030121,78.92887822718413,80.10765877452735,53739248
2020-05-07,81.04086303710938,83.15283854242246,80.64793614167438,81.43378993254437,31159970
2020-05-08,79.61650848388672,83.44752496081726,79.12535175664364,83.00548690408125,35362751
2020-05-11,84.57717895507812,89.04670774920857,79.96030915223741,80.00942032365543,152588401
2020-05-12,84.6754150390625,86.14888519051573,82.0231717642294,84.42983668048696,77551590
2020-05-13,85.65772247314453,90.86398630803612,84.72452777370935,90.86398630803612,68086031
2020-05-14,82.31787109375,83.79134128639858,81.08997926654285,82.4652121174493,46340453
2020-05-15,82.8581314086914,83.84044478044697,81.33555017914402,83.2019395899146,38592209
2020-05-18,79.22357177734375,83.00547660916604,78.19213978027587,83.00547660916604,44221170
2020-05-19,80.3532485961914,84.13515413341084,80.05855154364657,81.04086505951953,65378983
2020-05-20,81.97406005859375,82.90726239713226,79.27269788477666,79.81297331732303,36351053
2020-05-21,82.61255645751953,83.69309971192253,81.43378336079927,81.63024304543379,37290144
2020-05-22,81.33555603027344,82.4160993180456,80.54970227855361,81.92494259683491,29252676
2020-05-26,81.6302490234375,84.18426258300643,81.13909228142589,82.41610280843892,38014864
2020-05-27,83.05460357666016,84.47895505361872,82.51432819190666,82.61255803610092,57947903
2020-05-28,85.46126556396484,86.59092746973613,83.0546007383944,84.47895216667789,96179680
2020-05-29,85.46126556396484,85.95242226260832,83.1528305792318,84.03691413568134,80813537
2020-06-01,87.9661636352539,89.58697466986018,86.44357494246218,87.3276584578104,71070852
2020-06-02,94.79324340820312,95.57909712854078,88.16262793664488,88.40820628744333,125407771
2020-06-03,97.00345611572266,99.65569951300262,95.67733441708268,98.23134796528876,90598067
2020-06-04,96.75787353515625,99.6065840010725,95.08794369020022,97.24903025360882,72078707
2020-06-05,108.79120635986328,110.46113610078747,97.29814286184083,98.67337559226955,187209208
2020-06-08,113.4080810546875,117.04264519617861,111.34522437679071,111.98372959706883,136943010
2020-06-09,109.47882843017578,115.81475453035209,108.30005531567895,115.37270899157328,79473751
2020-06-10,109.4297103881836,111.00141027369871,106.58100013005584,109.03678354319077,84038431
2020-06-11,104.27256774902344,109.18413469439001,103.14290585269785,107.95624295804836,55485897
2020-06-12,103.43760681152344,104.37080156894545,96.26671580006263,96.26671580006263,92989560
2020-06-15,98.72249603271484,102.79909811405157,98.28045800348526,102.79909811405157,69318356
